Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
МБАЛ-Ихтиман-Д-р Станю Янков ЕООД,София - област,ИХТИМАН,Ихтиман,ул. Шипка 30,"Д-Р ИВКА ИВАНОВА ГЕОРГИЕВА, Д-Р ПЕТЬО ДИМИТРОВ ГЕРГАНОВ, Д-Р ИВАН ЖЕКОВ ИВАНОВ",072482164,42.5610562,23.7047575,nominatim_free,"Шипка, Вакарел, Ихтиман, Софийска, 2060, България",45
МБАЛ-Каварна ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"ЦВЕТАНКА ИЛИЕВА ДИМИТРОВА, ГЕОРГИ ИВАНОВ ДОНЕВ, ЖИВКО ИВАНОВ ЖЕКОВ, ДЕСИСЛАВ ПЕТРОВ ТАСКОВ, ХАМЗА ВЕЛИЕВ АЛИЕВ, Д-Р ХРИСТИЯН ПЕТРОВ ЗАФИРОВ","0570/83161,0887/991099",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
МБАЛ-ОМУРТАГ ЕАД,Търговище,ОМУРТАГ,Омуртаг,ул. Търновска 55,"ХРИСТО ЛЮБОМИРОВ ЖЕЛЕВ, ПАВЛИНА СТОЯНОВА ПАВЛОВА, МЕХМЕД ХАСАНОВ АХМЕДОВ, БОЯН СЕРГЕЕВ ФИЛЕВ, СТИЛИЯН ЛЮБЕНОВ ГРИГОРОВ, ЗЮЛБИЕ ИСМАИЛОВА МУСТАФОВА, Д-Р ЙОШЕНКА НЕНЧЕВА ЖЕЛЯЗКОВА-РУСЕВА","0605/2480,0605/4176,0605/64176,0605/62480,0605/62780,0605/64146",43.1053722,26.4176064,nominatim_free,"Търновска, Омуртаг, Търговище, 7900, България",45
МБАЛ-ПОПОВО ЕООД,Търговище,ТЪРГОВИЩЕ,Търговище,ул. Пирин 16,"ЙОВЧО ЯНКОВ ЯКОВ, ИВАН ПЕТКОВ ДИМИТРОВ, ИВАН НИКОЛОВ ГУЩАНОВ, ЯНКА АНДРЕЕВА ИВАНОВА, РУМЕН СТОЙЧЕВ РУСЕВ","0608/42401,0608/43912,0608/43574",43.3178181,26.6236889,nominatim_free,"ул. Пирин Планина, Съединение, Търговище, България",45
МБАЛ-ПОПОВО ЕООД,Търговище,ПОПОВО,Попово,ГР.ПОПОВО център,"ЙОВЧО ЯНКОВ ЯКОВ, ИВАН ПЕТКОВ ДИМИТРОВ, ИВАН НИКОЛОВ ГУЩАНОВ, ЯНКА АНДРЕЕВА ИВАНОВА, РУМЕН СТОЙЧЕВ РУСЕВ","0608/42401,0608/43912,0608/43574",,,,,0
МБАЛ-Проф. Д-р Параскев Стоянов-АД Ловеч,Ловеч,ЛОВЕЧ,Ловеч,ул. Съйко Съев 27,"ВИКТОР ЕМИЛОВ ТАСЛАКОВ, ТИХОМИР ИВАНОВ БЕНЕВ, ТАТЯНА ГАНЧЕВА БОРИСОВА, Д-Р АНКА ГЕОРГИЕВА АНГЕЛОВА, РУМЯНА ПЕТРОВА НАНОВСКА, АЛДИН ДОЧЕВ НАЧКОВ, ЯНКО ВАСИЛЕВ КОЧЕВ","068/667444,068/603370,068/603371,0895728203,0878792666",43.1326475,24.7063141,nominatim_free,"Многопрофилна болница за активно лечение Проф. Д-р. Параскев Стоянов - Ловеч, 27, Съйко Съев, ж.к. Младост, Ловеч, 5500, България",100
МБАЛ-Своге ЕООД,София - област,СВОГЕ,Своге,ул. Староселска 4,"Д-Р ЛЮБИЦА ИВАНОВА ТОМЧЕВА, ПЛАМЕН КИРИЛОВ КИТАНОВ, ПЕТЯ ИВАНОВА ТОМОВА","0878199647,072622577,0886839753,0726/2577,0726/2174",42.9641771,23.3401984,nominatim_free,"МБАЛ Своге, 4, Староселска, кв. Свиново, кв. Старо село, Своге, Софийска, 2260, България",90
МБАЛ-ТЪРГОВИЩЕ АД,Търговище,ТЪРГОВИЩЕ,Търговище,ГР.ТЪРГОВИЩЕ център,ИВАН ВАСИЛЕВ СВЕТУЛКОВ,"0601/68888,0601/64864",,,,,0
МЕДИКО - ДЕНТАЛЕН ЦЕНТЪР ТРИО ЕООД,Враца,ВРАЦА,Враца,ул. Генерал Леонов 95,ВАЛЕНТИН МАРИНОВ НАЙДЕНОВ,0882934002,,,,,0
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА МЕДИЦИНСКА ПОМОЩ - ВИЗУС ООД,Велико Търново,ГОРНА ОРЯХОВИЦА,Горна Оряховица,ул. Хан Крум 5,"СОФИЯ ЦЕЦКОВА ЦВЕТАНОВА-ДИМИТРОВА, ПЕТЯ ИВАНОВА ЦВЕТАНОВА, ПЕТЯ ЦВЕТАНОВА",061864053,43.1230999,25.68658,nominatim_free,"Хан Крум, ж.к. Пролет, Горна Оряховица, Велико Търново, 5100, България",85
