Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
МЦ Света Елисавета -Раковски ЕООД,Пловдив,РАКОВСКИ,Белозем,ул. Родопи 43 и,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033",ул. Родопи 43 сутерен и,Белозем,,Родопи,"ул. Родопи 43 и, Белозем, България",,,,,0
МЦ-Ловеч ЕООД,Ловеч,ЛОВЕЧ,Ловеч,ул. С.Съев 27,"ИВЕЛИН ЦАНКОВ ЙОЦОВ, ПРАВДА ТРИФОНОВА ГЕНОВА-ПЕТКОВА, ДОНКА ПЕНЧЕВА МИНКОВА, ИЛИЯНА ПЕНЕВА КАЗАКОВА, АЛДИН ДОЧЕВ НАЧКОВ","068/667238, 0896717669, 0878792666, 0896717671, 0888465411",ул. С.Съев 27,Ловеч,27,С.Съев,"ул. С.Съев 27, Ловеч, България",,,,,0
МЦО РЕСБИОМЕД ЕООД,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Алдомировска 144,АЛЕКСАНДЪР АНГЕЛОВ АНГЕЛОВ,070018484,ул. Алдомировска 144,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,144,Алдомировска,"ул. Алдомировска 144, СОФИЯ 03 рн ВЪЗРАЖДАНЕ, България",,,,,0
НМТБ ЦАР БОРИС ІІІ СОФИЯ,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Княгиня Мария Луиза 108 и 104,"НИКОЛАЙ ГЕОРГИЕВ ЧЕРВЕНЯКАВ, РАЙКО СТЕФАНОВ ЦВЕТКОВ, ПРОФ. Д-Р ХРИСТО ГЕОРГИЕВ ЦЕКОВ, ГЕОРГИ ЕДРЕВ ЕДРЕВ","02/8324055, 02/8323004",бул. Княгиня Мария Луиза 108 и 104,СОФИЯ 05 рн СЕРДИКА,104,Княгиня Мария Луиза,"бул. Княгиня Мария Луиза 108 и 104, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
НСБФТР ЕАД СОФИЯ,София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,бул. Овча купел 2В,"Д-Р ЙОРДАН МЕТОДИЕВ ИВАНЧЕВ, ТАТЯНА ГАНЧЕВА АНГЕЛОВА, АНТОН ЕВГЕНИЕВ ЖИВКОВ, ГАЛИНА ПЕТКОВА ПАВЛОВА","02/9555273, 02/8555022",бул. Овча купел 2В,СОФИЯ 18 рн ОВЧА КУПЕЛ,2В,Овча купел,"бул. Овча купел 2В, СОФИЯ 18 рн ОВЧА КУПЕЛ, България",,,,,0
ОЧЕН МЦ ТРОШЕВ ООД,Стара Загора,СТАРА ЗАГОРА,Стара Загора,бул. Митрополит Методий Кусев 61,Д-Р СТАНИМИР ДЕНЧЕВ ТРОШЕВ,"0887552768, 042/630053",бул. Митрополит Методий Кусев 61,Стара Загора,61,Митрополит Методий Кусев,"бул. Митрополит Методий Кусев 61, Стара Загора, България",,,,,0
СБАЛ ГРЪБНАЧЕН ЦЕНТЪР АД,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Ген. Николай Столетов 67А,"ЛЮБЧО ЦВЕТАНОВ ПЕНЕВ, Д-Р ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ДЕСИСЛАВА ИВАНОВА ЛЮБЕНОВА",0894515618,бул. Ген. Николай Столетов 67А,СОФИЯ 05 рн СЕРДИКА,67А,Ген. Николай Столетов,"бул. Ген. Николай Столетов 67А, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
СБАЛ ГРЪБНАЧЕН ЦЕНТЪР АД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Св. Георги Софийски 3,"ЛЮБЧО ЦВЕТАНОВ ПЕНЕВ, Д-Р ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ДЕСИСЛАВА ИВАНОВА ЛЮБЕНОВА",0894515618,ул. Св. Георги Софийски 3,СОФИЯ 10 рн ТРИАДИЦА,3,Св. Георги Софийски,"ул. Св. Георги Софийски 3, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
СБАЛ ЙОАН ПАВЕЛ ЕООД СОФИЯ,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Ген. Столетов 67А,НЕБЕСНА ДИМИТРОВА БАЛДЖИЙСКА,02/8320044,бул. Ген. Столетов 67А,СОФИЯ 05 рн СЕРДИКА,67А,Ген. Столетов,"бул. Ген. Столетов 67А, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
СБАЛ СВ. ЛАЗАР ООД СОФИЯ,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Симеоновско шосе 4А,Д-Р ТИАНА ЛАЗАРОВА ДИМИТРИЕВА-НИКОЛОВА,02/9622005,бул. Симеоновско шосе 4А,СОФИЯ 09 рн ЛОЗЕНЕЦ,4А,Симеоновско шосе,"бул. Симеоновско шосе 4А, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
СБАЛ СПЕЦИАЛ МЕДИК ООД,Пловдив,ПЛОВДИВ,Пловдив,пл. Понеделник пазар 5 крило Изток и крило Юг,Д-Р ИНА СТОЯНОВА ФИЛИПОВА,0884308925,пл. Понеделник пазар 5 крило Изток и крило Юг,Пловдив,,Понеделник пазар,"пл. Понеделник пазар 5 крило Изток и крило Юг, Пловдив, България",,,,,0
СБАЛАГ МАЙЧИН ДОМ ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Здраве 2,"ПРОФ. ИВАН АТАНАСОВ КОСТОВ, Д-Р ВИКТОР БОРИСОВ ЗЛАТКОВ, Д-Р ДИМИТЪР МИТКОВ ДРАГИЕВ, МЕТОДИ ВАНГЕЛОВ ЯНКОВ, НИКОЛАЙ ИВАНОВ ДОГАНОВ","02/9172233, 02/8517291",ул. Здраве 2,СОФИЯ 10 рн ТРИАДИЦА,2,Здраве,"ул. Здраве 2, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
СБАЛББ - СВ. ПАНТЕЛЕЙМОН ЕООД,Перник,ПЕРНИК,Перник,местност Голо бърдо,"АЛЕКСАНДЪР ПЕТРОВ АЛЕКСАНДРОВ, АСЕН ЙОРДАНОВ АСЕНОВ, ВЕЛИЧКА ГЕОРГИЕВА КАДИЙСКА, СИМЕОН ВАСИЛЕВ СИМЕОНОВ, АЛЕКСАНДЪР СТЕФАНОВ АЛЕКСИЕВ","0884999636, 0888252427, 0999115126, 0895525350, 0889035153",местност Голо бърдо,Перник,,местност Голо бърдо,"местност Голо бърдо, Перник, България",,,,,0
СБАЛГАР Д.Р МАЛИНОВ ООД СОФИЯ,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Гоце Делчев 46,Д-Р МАКСИМ ЦАНКОВ МАЛИНОВ,02/9655711,бул. Гоце Делчев 46,СОФИЯ 02 рн КРАСНО СЕЛО,46,Гоце Делчев,"бул. Гоце Делчев 46, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
СБАЛДБ ПРОФ. ИВАН МИТЕВ ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. Акад. Иван Гешов 11,"Д-Р МАРИЯ БОЖИДАРОВА ЕКИМОВА-ПЕНЕВА, ДИМИТЪР ЛЮБОМИРОВ РУСИНОВ, БЛАГОМИР НИКОЛАЕВ ЗДРАВКОВ",02/8154254,бул. Акад. Иван Гешов 11,СОФИЯ 10 рн ТРИАДИЦА,11,Акад. Иван Гешов,"бул. Акад. Иван Гешов 11, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
СБАЛИПБ ПРОФ. ИВАН КИРОВ ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. Акад. Иван Гешов 17,"Д-Р ТОМА БОРИСОВ ТОМОВ, ПРОФ. Д-Р ТАТЯНА ПЕТРОВА ПЕНКОВА-ЧЕРВЕНЯКОВА",02/9402100,бул. Акад. Иван Гешов 17,СОФИЯ 10 рн ТРИАДИЦА,17,Акад. Иван Гешов,"бул. Акад. Иван Гешов 17, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
СБАЛК - КАРДИОЛАЙФ ООД ВАРНА,Варна,ВАРНА,Варна,бул. Република Медицински център Младост бл. А,"Д-Р ТРАЯН БОТЕВ ЦВЕТКОВ, ЮЛИЯ БОРИСОВА МАКЕДОНСКА, СПАС НИКОЛОВ СПАСАВ, Д-Р ГАЛИНА ВИДОЛОВА БАЛАБАНОВА, Д-Р ВЛАДИСЛАВ ТОДОРИНОВ ПАКЕРОВ, ХАРАЛИН СТОЯНОВ ТУМБЕВ","052/460170, 052/460171, 052/460190, 052/460191, 0879487878",бул. Република Медицински център Младост бл. А,Варна,,Република Медицински център Младост,"бул. Република Медицински център Младост бл. А, Варна, България",,,,,0
СБАЛОБ ДЕН ЕООД СОФИЯ,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Росица 21,ДОЦ. Д-Р АНДРЕЙ ДИМИТРОВ АНДРЕЕВ,"02/9832028, 02/9833800",ул. Росица 21,СОФИЯ 04 рн ОБОРИЩЕ,21,Росица,"ул. Росица 21, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
СБАЛОБ ЗОРА АД СОФИЯ,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Княгиня Мария-Луиза 191,"ПРОФ. ИВА ТОДОРОВА ПЕТКОВА, РЕНЕТА ТОДОРОВА ПЕТКОВА, ДОЦ. Д-Р ЕВДОКИЯ ДИМИТРОВА ИЛИЕВА",02/9312281,бул. Княгиня Мария-Луиза 191,СОФИЯ 05 рн СЕРДИКА,191,Княгиня Мария-Луиза,"бул. Княгиня Мария-Луиза 191, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
СБАЛОБ ЗОРА АД СОФИЯ,София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,ул. Петър Протич 4,"ПРОФ. ИВА ТОДОРОВА ПЕТКОВА, РЕНЕТА ТОДОРОВА ПЕТКОВА, ДОЦ. Д-Р ЕВДОКИЯ ДИМИТРОВА ИЛИЕВА",02/9312281,ул. Петър Протич 4,СОФИЯ 15 рн МЛАДОСТ,4,Петър Протич,"ул. Петър Протич 4, СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
СБАЛОБ ЗРЕНИЕ ООД СОФИЯ,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Джеймс Баучер 33,"ХРИСТИНА БЛАГОЕВА ХРИСТОВА, ВЕСЕЛИН ИВАНОВ ТАНЕВ, ПРОФ. Д-Р ПРАВОСЛАВА ЦОНЧЕВА ЧНЧУЛЕВА, ПРОФ. Д-Р ВЕСЕЛИН ИВАНОВ ТАНЕВ","02/9531582, 02/9531574",бул. Джеймс Баучер 33,СОФИЯ 09 рн ЛОЗЕНЕЦ,33,Джеймс Баучер,"бул. Джеймс Баучер 33, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
СБАЛОБ ЗРЕНИЕ ООД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Балша 5,"ХРИСТИНА БЛАГОЕВА ХРИСТОВА, ВЕСЕЛИН ИВАНОВ ТАНЕВ, ПРОФ. Д-Р ПРАВОСЛАВА ЦОНЧЕВА ЧНЧУЛЕВА, ПРОФ. Д-Р ВЕСЕЛИН ИВАНОВ ТАНЕВ","02/9531582, 02/9531574",ул. Балша 5,СОФИЯ 10 рн ТРИАДИЦА,5,Балша,"ул. Балша 5, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
СБАЛОЗ ПРОФ. Д-Р МАРИН МУШМОВ ЕООД СОФИЯ,София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,бул. А. Сахаров 22,Д-Р БОРИСЛАВ ХАРАЛАМБИЕВ ДИМИТРОВ,02/9753950,бул. А. Сахаров 22,СОФИЯ 15 рн МЛАДОСТ,22,А. Сахаров,"бул. А. Сахаров 22, СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
СБАЛОЗ КРИСТАЛ ООД СОФИЯ,София (столица),СОФИЯ 11 рн КРАСНА ПОЛЯНА,СОФИЯ 11 рн КРАСНА ПОЛЯНА,"ГР. СОФИЯ, Р-Н КРАСНА ПОЛЯНА, БУЛ. „АЛЕКСАНДЪР СТАМБОЛИЙСКИ“ 239",Д-Р ГЕОРГИ ИЛИЕВ ДОРМИШЕВ,"02/4200356, 02/4200234","ГР. СОФИЯ, Р-Н КРАСНА ПОЛЯНА, БУЛ. „АЛЕКСАНДЪР СТАМБОЛИЙСКИ“ 239",СОФИЯ 11 рн КРАСНА ПОЛЯНА,239,"ГР. СОФИЯ, Р-Н КРАСНА ПОЛЯНА, БУЛ. „АЛЕКСАНДЪР СТАМБОЛИЙСКИ“","ГР. СОФИЯ, Р-Н КРАСНА ПОЛЯНА, БУЛ. „АЛЕКСАНДЪР СТАМБОЛИЙСКИ“ 239, СОФИЯ 11 рн КРАСНА ПОЛЯНА, България",,,,,0
СБАЛОТ ВИТОША ЕООД СОФИЯ,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Симеоновско шосе 108-Б,Д-Р ОРЛИН БОРИСОВ ФИЛИПОВ,9622292,бул. Симеоновско шосе 108-Б,СОФИЯ 09 рн ЛОЗЕНЕЦ,,Симеоновско шосе,"бул. Симеоновско шосе 108-Б, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
СБАЛПФЗ Враца ЕООД,Враца,ВРАЦА,Враца,"ул. ""Генерал Леонов""93","Д-Р КОСТАДИН НИКИФОРОВ ШАХОВ, Д-Р МАРИЯНА СТОЯНОВА МАРКОВА","0878987223, 0876987223, 092/623564, 092/666117","ул. ""Генерал Леонов""93",Враца,93,"""Генерал Леонов""93","ул. ""Генерал Леонов""93, Враца, България",,,,,0
СБАЛТОСМ ПРОФ. Д-Р ДИМИТЪР ШОЙЛЕВ ЕАД СОФИЯ,София (столица),СОФИЯ 08 рн ИЗГРЕВ,СОФИЯ 08 рн ИЗГРЕВ,"жк Дианабат, ул. Никола Габровски 1","ГЕОРГИ АЛЕКСАНДРОВ ДАМЯНОВ, ТАНЯ МАРИНОВА РУСЕВА-КОЛЕВА","02/962045, 0888871888, 02/8621133","жк Дианабат, ул. Никола Габровски 1",СОФИЯ 08 рн ИЗГРЕВ,1,"Дианабат, ул. Никола Габровски","жк Дианабат, ул. Никола Габровски 1, СОФИЯ 08 рн ИЗГРЕВ, България",,,,,0
СБАЛХЗ ЕАД СОФИЯ,София (столица),СОФИЯ 01 рн СРЕДЕЦ; СОФИЯ 16 рн СТУДЕНТСКИ,СОФИЯ 01 рн СРЕДЕЦ; СОФИЯ 16 рн СТУДЕНТСКИ,"ул. Пловдивско поле 6; Бул. ""Климент Охридски"" 1А","Д-Р НИНА АНГЕЛОВА РЪСИНА, АНДРЕЙ АНГЕЛОВ АНДРЕЕВ, ПРОФ. Д-Р СТАВРИ АСЕНОВ ТОШКОВ, ПРОФ. Д-Р ГЕОРГИ ГЕОРГИЕВ МИХАЙЛОВ, ДОЦ. Д-Р МИМОЗА ЦВЕТАНОВА СТАНЕВА, ДОЦ. Д-Р БРАНИМИР ВЛАДИМИРОВ СПАСОВ, Д-Р ГАЛЯ ГЕОРГИЕВА КОНДЕВА-МЪНКОВА","9701104, 9701105","ул. Пловдивско поле 6; Бул. ""Климент Охридски"" 1А",СОФИЯ 01 рн СРЕДЕЦ; СОФИЯ 16 рн СТУДЕНТСКИ,1А,Пловдивско поле,"ул. Пловдивско поле 6; Бул. ""Климент Охридски"" 1А, СОФИЯ 01 рн СРЕДЕЦ; СОФИЯ 16 рн СТУДЕНТСКИ, България",,,,,0
СБПЛР БУХОВО ЕООД СОФИЯ,София (столица),СОФИЯ 22 рн КРЕМИКОВЦИ,СОФИЯ 22 рн КРЕМИКОВЦИ,"гр. Бухово ул. ""Стефан и Велко"" 2",Д-Р ДОРА ДИМИТРОВА ВЕЛЕВА,9942320,"гр. Бухово ул. ""Стефан и Велко"" 2",СОФИЯ 22 рн КРЕМИКОВЦИ,2,"гр. Бухово ул. ""Стефан и Велко""","гр. Бухово ул. ""Стефан и Велко"" 2, СОФИЯ 22 рн КРЕМИКОВЦИ, България",,,,,0
СБПЛР КРЕМИКОВЦИ ЕООД СОФИЯ,София (столица),СОФИЯ 22 рн КРЕМИКОВЦИ,СОФИЯ 22 рн КРЕМИКОВЦИ,кв. Ботунец ул. В. Левски 2,"Д-Р ЦВЕТАНКА ХРИСТОВА ЗАФИРОВА, АНДРЕЙ ИВАНОВ АНДРЕЕВ","9943676, 9943319",кв. Ботунец ул. В. Левски 2,СОФИЯ 22 рн КРЕМИКОВЦИ,2,кв. Ботунец ул. В. Левски,"кв. Ботунец ул. В. Левски 2, СОФИЯ 22 рн КРЕМИКОВЦИ, България",,,,,0
СБПЛР ПАНЧАРЕВО ЕООД СОФИЯ,София (столица),СОФИЯ 23 рн ПАНЧАРЕВО,СОФИЯ 23 рн ПАНЧАРЕВО,"кв. Панчарево, ул. Кокалянско ханче 1","Д-Р АНДРЕЙ ИВАНОВ АНДРЕЕВ, ИВАН АСЕНОВ МАТЕЕВ, КРУМ ТОМОВ ТОМОВ","9923170, 9924331","кв. Панчарево, ул. Кокалянско ханче 1",СОФИЯ 23 рн ПАНЧАРЕВО,1,"кв. Панчарево, ул. Кокалянско ханче","кв. Панчарево, ул. Кокалянско ханче 1, СОФИЯ 23 рн ПАНЧАРЕВО, България",,,,,0
СБПЛРПФЗ Света Петка Българска ЕООД,Пазарджик,ВЕЛИНГРАД,Велинград,"местност ""4-ти километър""; 4-ти километър 91","ЦВЕТАН ИЛИЕВ ДАФОВ, ЕЛЕНА МИТКОВА ШОПОВА","0359/53273, 0359/53276, 0359/52243","местност ""4-ти километър""; 4-ти километър 91",Велинград,91,"местност ""4-ти километър"";","местност ""4-ти километър""; 4-ти километър 91, Велинград, България",,,,,0
СБР Медика - Албена ЕООД,Добрич,БАЛЧИК,"Оброчище, Албена",Сградата на медицински център,"ПРОФ. Д-Р ДИМИТРИЧКА ДУЧЕВА БЛИЗНАКОВА, Д-Р МИГЛЕНА СТЕФАНОВА КОЖУХАРОВА, ГАЛИНА ПЕТКОВА ПАВЛОВА, ПРОФ. Д-Р ЕНЧО КАЛЧЕВ СЪБЕВ","0887714763, 0888376863, 0878123321, 0887366652",Сградата на медицински център,"Оброчище, Албена",,Сградата на медицински център,"Сградата на медицински център, Оброчище, Албена, България",,,,,0
СБР Света Богородица ЕООД Нареченски бани,Пловдив,АСЕНОВГРАД,Нареченски Бани,ул. Панорама 8,Д-Р АТАНАС БЛАГОЕВ ТИЛЕВ,"03342/2212, 03342/2243",ул. Панорама 8,Нареченски Бани,8,Панорама,"ул. Панорама 8, Нареченски Бани, България",,,,,0
СБР - ВАРНА АД,Варна,ВАРНА,Варна,"К.К. ""ЗЛАТНИ ПЯСЪЦИ"", СПИРКА ""ЖУРНАЛИСТ""",Д-Р ЦВЕТАНА АНГЕЛОВА ДИНКОВА,052/355583,"К.К. ""ЗЛАТНИ ПЯСЪЦИ"", СПИРКА ""ЖУРНАЛИСТ""",Варна,,"К.К. ""ЗЛАТНИ ПЯСЪЦИ"", СПИРКА ""ЖУРНАЛИСТ""","К.К. ""ЗЛАТНИ ПЯСЪЦИ"", СПИРКА ""ЖУРНАЛИСТ"", Варна, България",,,,,0
СБР - САПАРЕВА БАНЯ АД,Кюстендил,САПАРЕВА БАНЯ,Сапарева Баня,ул. Серафим Йорданов 1,"Д-Р НИКОЛАЙ СТОЯНОВ КРЪСТЕВ, Д-Р ГЕОРГИ ЖЕЛЕВ АВРАМОВ",0707/22362,ул. Серафим Йорданов 1,Сапарева Баня,1,Серафим Йорданов,"ул. Серафим Йорданов 1, Сапарева Баня, България",,,,,0
СБР БАНКЯ АД СОФИЯ,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,"гр. Банкя, ул. Шейново 8","Д-Р НИКОЛАЙ СТОЯНОВ КРЪСТЕВ, ПЕТЯ МИЛЕНОВА ГЕНКОВА, ГЕОРГИ ЖЕЛЕВ АВРАМОВ","9977265, 9977244","гр. Банкя, ул. Шейново 8",СОФИЯ 24 рн БАНКЯ,8,"гр. Банкя, ул. Шейново","гр. Банкя, ул. Шейново 8, СОФИЯ 24 рн БАНКЯ, България",,,,,0
СБР ДЦП СВ. СОФИЯ ЕООД СОФИЯ,София (столица),СОФИЯ 11 рн КРАСНА ПОЛЯНА,СОФИЯ 11 рн КРАСНА ПОЛЯНА,БУЛ. ВЪЗКРЕСЕНИЕ 1В,ДОЦ Д-Р ИВАН ДИМИТРОВ ЧАВДАРОВ,8284881,БУЛ. ВЪЗКРЕСЕНИЕ 1В,СОФИЯ 11 рн КРАСНА ПОЛЯНА,1В,ВЪЗКРЕСЕНИЕ,"БУЛ. ВЪЗКРЕСЕНИЕ 1В, СОФИЯ 11 рн КРАСНА ПОЛЯНА, България",,,,,0
СБР ЗДРАВЕ ЕАД,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,"гр. Банкя, ул. Г. С. Раковски 15","Д-Р ВИОЛЕТА КОСТАДИНОВА ВЕЛИЧКОВА, ГЕОРГИ САМУИЛОВ ВАСИЛЕВ, ПРОФ. Д-Р ДИМИТЪР РАДКОВ РАДЕНОВСКИ","9977231, 9977383","гр. Банкя, ул. Г. С. Раковски 15",СОФИЯ 24 рн БАНКЯ,15,"гр. Банкя, ул. Г. С. Раковски","гр. Банкя, ул. Г. С. Раковски 15, СОФИЯ 24 рн БАНКЯ, България",,,,,0
СБР НК ЕАД филиал Хисар,Пловдив,ХИСАРЯ,Хисаря,бул. “Гурко” 2,"ВЕЛИЧКА НИКОЛОВА ШОПОВА, МАРИАНА БОТЕВА ТЕРЗИЙСКА, СВЕТИЯ ЙОРДАНОВ ТУЖАРОВ, ИВАН ДОНЧЕВ ДОНЧЕВ","0882805523, 03762046",бул. “Гурко” 2,Хисаря,2,“Гурко”,"бул. “Гурко” 2, Хисаря, България",,,,,0
СБР НК ЕАД Св. Мина Вършец,Монтана,ВЪРШЕЦ,Вършец,Паркова зона,"БОРЯНА ТОДОРОВА БОНЧЕВА-ЛЕЧЕВА, Д-Р АЛЕКСАНДЪР ИВАНОВ СЕМКОВ, Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ",09527/2258,Паркова зона,Вършец,,Паркова зона,"Паркова зона, Вършец, България",,,,,0
СБР НК ЕАД Филиал Сандански,Благоевград,САНДАНСКИ,Сандански,УЛ. ПОЛК. ДРАНГОВ 1,СТЕФКА КОСТАДИНОВА ИВАНОВА,"0746/30833, 0746/32419",УЛ. ПОЛК. ДРАНГОВ 1,Сандански,1,ПОЛК. ДРАНГОВ,"УЛ. ПОЛК. ДРАНГОВ 1, Сандански, България",,,,,0
СБР НК ЕАД филиал Нареченски бани,Пловдив,АСЕНОВГРАД,Нареченски Бани,ул. „Родопи“ 1,"Д-Р АТАНАС ЛЮБОМИРОВ БУЧКОВ, ДАНКА МЕТОДИЕВА ПОПОВА",033422224,ул. „Родопи“ 1,Нареченски Бани,1,„Родопи“,"ул. „Родопи“ 1, Нареченски Бани, България",,,,,0
СБР Света Елена 1 ООД,Варна,ВАРНА,Варна,"к.к. „Св. Св. Константин и Елена”, х-л „Света Елена”, ул. „1” 82",ПРОФ. Д-Р ПЕТКО ПЕНКОВ МАРИНОВ Д.М.,"0889515100, 0899982700","к.к. „Св. Св. Константин и Елена”, х-л „Света Елена”, ул. „1” 82",Варна,82,"к.к. „Св. Св. Константин и Елена”, х-л „Света Елена”, ул. „1”","к.к. „Св. Св. Константин и Елена”, х-л „Света Елена”, ул. „1” 82, Варна, България",,,,,0
СБР по физикална и рехабилитационна медицина Димина ООД Вонеща вода,Велико Търново,ВЕЛИКО ТЪРНОВО,Вонеща Вода,ул. Първа 1,"СВЕТЛИН ДИМИТРОВ РАДЕВ, ЧЕНКО ХРИСТОВ ЧАЛЪКОВ, ДОЦ. Д-Р АНТОН СТОЯНОВ САВОВ, Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ, СЪБИНА СЪБЕВА СЪБЕВА","0889528640, 0879382690, 0896407717, 061182300, 0887805378",ул. Първа 1,Вонеща Вода,1,Първа,"ул. Първа 1, Вонеща Вода, България",,,,,0
СБР-Витус ЕООД,Пловдив,ХИСАРЯ,Хисаря,ул. Ал.Стамболийски 21,Д-Р ЧЕНКО ХРИСТОВ ЧАЛЪКОВ,0887305586,ул. Ал.Стамболийски 21,Хисаря,21,Ал.Стамболийски,"ул. Ал.Стамболийски 21, Хисаря, България",,,,,0
СГЕБАЛ Еврохоспитал ООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,"ул. “Колхида” – продължение, МТБ, бл""Ж""","ВАСИЛ ВАСИЛЕВ АНГЕЛОВ, Д-Р ПЕЙО АЛЕКСАНДРОВ ТУХЧИЕВ, ГЕОРГИ ЮРИЕВ ТОШЕВ, ВЕНЦЕСЛАВ ГЕОРГИЕВ ДЖУРКОВ","032/676367, 032/674142","ул. “Колхида” – продължение, МТБ, бл""Ж""",Пловдив,,"“Колхида” – продължение, МТБ, бл""Ж""","ул. “Колхида” – продължение, МТБ, бл""Ж"", Пловдив, България",,,,,0
СОБАЛ АКАД. ПАШЕВ EООД СОФИЯ,София (столица),СОФИЯ 06 рн ПОДУЯНЕ,СОФИЯ 06 рн ПОДУЯНЕ,ул. „Емануил Васкидович” 51,"Д-Р ДАНИЕЛА ПЕТРОВА МИРКОВСКА, АКАД. Д-Р ПЕТЯ ИВАНОВА ВАСИЛЕВА","9487901, 9487931",ул. „Емануил Васкидович” 51,СОФИЯ 06 рн ПОДУЯНЕ,51,„Емануил Васкидович”,"ул. „Емануил Васкидович” 51, СОФИЯ 06 рн ПОДУЯНЕ, България",,,,,0
СОБАЛ ВИЖЪН ЕООД,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,"ул. Виктор Григорович 8, район Искър, бул. Проф.Цветан Лазаров 86","ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, Д-Р ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА И ЕЛЕНА НЕЙЧЕВА КУМБИЕВА - ЗАЕДНО",9515037,"ул. Виктор Григорович 8, район Искър, бул. Проф.Цветан Лазаров 86",СОФИЯ 02 рн КРАСНО СЕЛО,86,Виктор Григорович,"ул. Виктор Григорович 8, район Искър, бул. Проф.Цветан Лазаров 86, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
