Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
ДКЦ ХХХ СОФИЯ ЕООД,София (столица),СОФИЯ 20 рн ВРЪБНИЦА,"София, Кв.Обеля","Р-Н ВРЪБНИЦА, жк ОБЕЛЯ 2","ЦВЕТАН ИВАНОВ НЕДЯЛКОВ, РОСЕН АЛЕКСАНДРОВ ФИДАНОВ, СЛАВИ ЕВСТАТИЕВ СЛАВЧЕВ, НЕЛИ ГЕОРГИЕВА ГЕОРГИЕВА-ТАИНОВА, ВЕЛИЗАР ДИМИТРОВ ДИЛОВ, ГАНЧО ВИТАНОВ ПЕНЕВ","934 0062,834 1615","Р-Н ВРЪБНИЦА, Ж.К. ОБЕЛЯ 2","София, Кв.Обеля",2,"Р-Н ВРЪБНИЦА, жк ОБЕЛЯ","Р-Н ВРЪБНИЦА, жк ОБЕЛЯ 2, София, Кв.Обеля, България",,,,,0
ДЦ - П,Перник,ПЕРНИК,Перник,ул. Златоград 1,ДОЦ. Д-Р АЛЕКСАНДЪР ИВАНОВ ОСИЧЕНКО,"0884933100,076/593924",ул. Златоград 1,Перник,1,Златоград,"ул. Златоград 1, Перник, България",,,,,0
ДЦ ФЪРСТ ДИАЛИЗИС СЪРВИСИЗ БЪЛГАРИЯ ЕАД ГР. МОНТАНА,Монтана,МОНТАНА,Монтана,ул. Никола Трендафилов - Колич 7,ИРЕНА АСЕНОВА ДИМИТРОВА,0899616167,ул. Никола Трендафилов - Колич 7,Монтана,7,Никола Трендафилов - Колич,"ул. Никола Трендафилов - Колич 7, Монтана, България",,,,,0
ДЦ Фърст Диализис Сървисиз България ЕАД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида – продължение,Д-Р ВАЛЕРИ ДИМИТРОВ ЦЕКОВ,032/398899,ул. Колхида – продължение,Пловдив,,Колхида – продължение,"ул. Колхида – продължение, Пловдив, България",,,,,0
ДЦ – ДИАЛМЕД ООД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Голям Братан 8,"Д-Р ИВАЙЛО НАЧЕВ СРЕДКОВ, Д-Р КИРИЛ АНГЕЛОВ АНАДОЛИЙСКИ, ГЕОРГИ НЯГОЛОВ ЛАЗАРОВ, АННА БОРИСОВА КОТЕВА-ЧОЛАКОВА",,ул. Голям Братан 8,СОФИЯ 10 рн ТРИАДИЦА,8,Голям Братан,"ул. Голям Братан 8, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
МБАЛ СВ. ИВАН РИЛСКИ ЕООД,Кюстендил,ДУПНИЦА,Дупница,ул. Свети Георги 2; ул. Отец Паисий 2,"СТЕФАН АСПАРУХОВ НИКОЛОВ, ЛЮБОМИР БОЯНОВ ТАУШАНСКИ, РОСЕН АНГЕЛОВ ТИМЧЕВ, ДИМИТЪР ГЕОРГИЕВ НЕДИН, ВЛАДИСЛАВ ИВАНОВ МИКОВ, МАРИЯ ИВАНОВА ЖАЙГАРОВА",0701/51826,ул. Свети Георги 2; ул. Отец Паисий 2,Дупница,2,Свети Георги,"ул. Свети Георги 2; ул. Отец Паисий 2, Дупница, България",,,,,0
МБАЛ КНЯГИНЯ КЛЕМЕНТИНА - СОФИЯ ЕАД,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Столетов 67 А,"Д-Р ВАСКО МИНКОВ КАЦАРОВ, Д-Р БОРИЛ ПЕТРОВ ПЕТРОВ",02/9268105,бул. Столетов 67 А,СОФИЯ 05 рн СЕРДИКА,,Столетов,"бул. Столетов 67 А, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
МБАЛ Паркхоспитал ЕООД,Пловдив,РОДОПИ,Браниполе,местност Герена 020Г,"Д-Р СВИЛЕН ШИДЕРОВ ПОПОВ, АНТОН СТОЯНОВ МИХНЕВ, ГАЛИНА КАРАУЛАНОВА, ЗДРАВКО ФЕЛИКСОВ КАБАДОЗОВ","032/280307,0879/606042,032/677027",местност Герена 020Г,Браниполе,020Г,местност Герена,"местност Герена 020Г, Браниполе, България",,,,,0
МБАЛ Св.Св.Козма и Дамян ООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,"жк Тракия, ул. Маестро Георги Атанасов 19; жк Тракия, бул. Освобождение 79","Д-Р ЗОРНИЦА ВЕСЕЛИНОВА СОТИРОВА, КОНСТАНТИН АНГЕЛОВ ВЛАХОВ",032990047,"жк Тракия, ул. Маестро Георги Атанасов 19; жк Тракия, бул. Освобождение 79",Пловдив,79,"Тракия, ул. Маестро Георги Атанасов","жк Тракия, ул. Маестро Георги Атанасов 19; жк Тракия, бул. Освобождение 79, Пловдив, България",,,,,0
МБАЛ - Варна ЕООД,Варна,ВАРНА,Варна,"Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ 1","ДОЦ. Д-Р ГЕОРГИ ПЕТКОВ ИЛИЕВ, Д-Р РУСИ ПАРАШКЕВОВ РУСЕВ","0877529374,052692009,052632234","Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ 1",Варна,1,"Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ","Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ 1, Варна, България",,,,,0
