Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"ДКЦ НЕОКЛИНИК ЕАД",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. Петко Ю. Тодоров №20,"ВАЛЕНТИН ДИМИТРОВ ДИМИТРОВ, АТАНАС ИВАНОВ ТУМАНОВ, ЙОРДАНКА СТАНИМИРОВА ЯНАКИЕВА",070010744
"ДКЦ СВЕТИ ПАНТАЛЕЙМОН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Хан Крум №2,"Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, Д-Р ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ","064/872020"
"ДКЦ СВЕТИ ПАНТАЛЕЙМОН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ж.к. Дружба ул. Трите бора №24,"Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, Д-Р ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ","064/872020"
"ДКЦ ХІV СОФИЯ ЕООД",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Стефан Сарафов №7,"МИЛЕН ПЕТКОВ ДИМОВ, МАРИАНА МЕТОДИЕВА ВАСИЛЕВА-МАКСИМОВА, РАЙКО СТЕФАНОВ ЦВЕТКОВ","02/9521363,02/9521546"
"ДКЦ ХХХ СОФИЯ ЕООД","София (столица)","СОФИЯ 20 рн ВРЪБНИЦА","ГР.СОФИЯ, КВ.ОБЕЛЯ","Р-Н ВРЪБНИЦА, Ж.К. ОБЕЛЯ 2","ЦВЕТАН ИВАНОВ НЕДЯЛКОВ, РОСЕН АЛЕКСАНДРОВ ФИДАНОВ, СЛАВИ ЕВСТАТИЕВ СЛАВЧЕВ, НЕЛИ ГЕОРГИЕВА ГЕОРГИЕВА-ТАИНОВА, ВЕЛИЗАР ДИМИТРОВ ДИЛОВ, ГАНЧО ВИТАНОВ ПЕНЕВ","934 0062,834 1615"
"ДЦ - П","Перник","ПЕРНИК","ГР.ПЕРНИК","ул. Златоград №1","ДОЦ. Д-Р АЛЕКСАНДЪР ИВАНОВ ОСИЧЕНКО","0884933100,076/593924"
"ДЦ ФЪРСТ ДИАЛИЗИС СЪРВИСИЗ БЪЛГАРИЯ ЕАД ГР. МОНТАНА","Монтана","МОНТАНА","ГР.МОНТАНА","ул. Никола Трендафилов - Колич №7","ИРЕНА АСЕНОВА ДИМИТРОВА","0899616167"
"ДЦ Фърст Диализис Сървисиз България ЕАД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул. Колхида – продължение","Д-Р ВАЛЕРИ ДИМИТРОВ ЦЕКОВ","032/398899"
"ДЦ ХИПОКРАТ ЕООД","Варна","ВАРНА","ГР.ВАРНА","ул. Дубровник № 58","ДОЦ. Д-Р МИХАИЛ ЦАНЕВ ДЕЛИЙСКИ, Д.М, АДВ. ПОЛЯ ВЕЛИКОВА ДИМИТРОВА-ЧЕНЕВА, ДАРИН РУСЕВ ЧЕНЕВ","0888814550"
"ДЦ – ДИАЛМЕД ООД СОФИЯ","София (столица)","СОФИЯ 10 рн ТРИАДИЦА","СОФИЯ 10 рн ТРИАДИЦА","ул. Голям Братан № 8","Д-Р ИВАЙЛО НАЧЕВ СРЕДКОВ, Д-Р КИРИЛ АНГЕЛОВ АНАДОЛИЙСКИ, ГЕОРГИ НЯГОЛОВ ЛАЗАРОВ, АННА БОРИСОВА КОТЕВА-ЧОЛАКОВА",""
"Диализен център ВИА ДИАЛ ООД","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Армейска № 13, вх. А, ет. 1","Д-Р ВАСИЛ ТОНЧЕВ ЧОЛАКОВ","0886846166,0887709758"
"Дъчмед Диализа България - Диализен център Шумен ЕООД","Шумен","ШУМЕН","ГР.ШУМЕН","ул. Царевец № 23","ХАРТЮН ЛЕВОН АВЕДИСЯН","0889435608"
"Дъчмед Диализа България-ДЦ Пазарджик","Пазарджик","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","ул. Царица Йоанна №6","ПЛАМЕН АСЕНОВ МАРТЕВ, ЗДРАВКО ЕМИЛОВ КРАЕВ, ИВАН СТЕФАНОВ ХАРИЗАНОВ","0884 425 455,034499220"
"Дъчмед Диализа България-ДЦ ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ул. Съединение №42, сградата на ДКЦ V","Д-Р АНАТОЛИЙ РАНГЕЛОВ БАШЕВ, ЗДРАВКО ЕМИЛОВ КРАЕВ, ПАНЧО СТАВРЕВ, ПЛАМЕН АСЕНОВ МАРТЕВ, МИРОСЛАВА НИКОЛОВА МИЛЧЕВА - ТОДОРОВА, ПЛАМЕН АСЕНОВ МАРТЕВ","02/9200384"
"КОЦ Велико Търново ЕООД","Велико Търново","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","ул. Бузлуджа № 1","Д-Р ИВАН ИЛИЕВ НИКОЛОВ, Д-Р МАРИЯ ИВАНОВА РАЧЕВА","062620249"
"КОЦ Враца ЕООД","Враца","ВРАЦА","ГР.ВРАЦА","бул. Втори юни №68","Д-Р ГЕОРГИ ЙОРДАНОВ ЕЗЕКИЕВ, Д-Р ЖУЛИЕТА ЦВЕТКОВА ЦОЛОВА, Д-Р ГРИГОР ТОМОВ ГРИГОРОВ","092/622549"
"КОЦ Пловдив ЕООД","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул. Александър Стамболийски № 2 А; бул. Васил Априлов № 15А","ДОЦ. Д-Р ТИХОМИР МИШЕВ ДЕРМЕНДЖИЕВ, ГЕОРГИ ЯНКОВ РАЙЧЕВ, АНТОАНЕТА ДИМИТРОВА ТОМОВА, НИКОЛА ХАРАЛАМБЕВ АНАНОЩЕВ, НЕДЯЛКА ИВАНОВА МИТОВА, КАЛИН КАЛИНОВ, КРАСИМИР СПАСОВ ВАЛЬОВ, МАРИАННА ПЕТРОВА ЯНЕВА, ПАРАШКЕВ МИЛЧЕВ ЦВЕТКОВ, ПЛАМЕН САВОВ ФОТЕВ","032/643831,032/644388"
"КОЦ Русе ЕООД","Русе","РУСЕ","ГР.РУСЕ","ул. Стоян Заимов № 2А; ул. Независимост 2","КАМЕН ЕМИЛОВ КОЖУХАРОВ, ГАЛИНА ХРИСТОВА ГАНЧЕВА","082/819910,082/834339,082/819911"
"КОЦ Стара Загора ЕООД","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Д-р Тодор Стоянович № 15","Д-Р ПЕТЬО ВЪЛЧЕВ ЧИЛИНГИРОВ","042/627 125"
"КОЦ-ШУМЕН ЕООД","Шумен","ШУМЕН","ГР.ШУМЕН","ул. Васил Априлов 63","СВИЛЕН СТЕФАНОВ АРНАУДОВ, СОТИР СТОЯНОВ КАРАНИКОЛОВ","054/800832,054/800746"
"МБАЛ Д-Р НИКОЛА ВАСИЛИЕВ АД","Кюстендил","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","пл. 17 Януари 1","ДИМИТЪР БОЖИДАРОВ СТОИЛОВ, МИХАИЛ КИРИЛОВ ЗОРТЕВ, АЛЕКСАНДЪР СТЕФАНОВ ВЕЛИЧКОВ","078/550261"
"МБАЛ СВ. ИВАН РИЛСКИ ЕООД","Кюстендил","ДУПНИЦА","ГР.ДУПНИЦА","ул. Свети Георги 2; ул. Отец Паисий 2","СТЕФАН АСПАРУХОВ НИКОЛОВ, ЛЮБОМИР БОЯНОВ ТАУШАНСКИ, РОСЕН АНГЕЛОВ ТИМЧЕВ, ДИМИТЪР ГЕОРГИЕВ НЕДИН, ВЛАДИСЛАВ ИВАНОВ МИКОВ, МАРИЯ ИВАНОВА ЖАЙГАРОВА","0701/51826"
"МБАЛ КНЯГИНЯ КЛЕМЕНТИНА - СОФИЯ ЕАД","София (столица)","СОФИЯ 05 рн СЕРДИКА","СОФИЯ 05 рн СЕРДИКА","бул. Столетов № 67 А","Д-Р ВАСКО МИНКОВ КАЦАРОВ, Д-Р БОРИЛ ПЕТРОВ ПЕТРОВ","02/9268105"
"МБАЛ Паркхоспитал ЕООД","Пловдив","РОДОПИ","С.БРАНИПОЛЕ","местност Герена 020Г","Д-Р СВИЛЕН ШИДЕРОВ ПОПОВ, АНТОН СТОЯНОВ МИХНЕВ, ГАЛИНА КАРАУЛАНОВА, ЗДРАВКО ФЕЛИКСОВ КАБАДОЗОВ","032/280307,0879/606042,032/677027"
"МБАЛ Професор доктор Георги Златарски ЕООД","Видин","БЕЛОГРАДЧИК","ГР.БЕЛОГРАДЧИК","ул. Христо Ботев №34","ЛИЛИЯ ИВАНОВА НЕСТОРОВА-ТРИФОНОВА, Д-Р ПЕТЯ НИКОЛОВА РУСКОВА, ПЕТЯ НИКОЛОВА РУСКОВА, Д-Р ВИОЛЕТА ИЛИЕВА ДОЧКОВА, Д-Р СОНЯ ИВАНОВА АНГЕЛОВА","0936/53360"
"МБАЛ Св.Св.Козма и Дамян ООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","ж.к. Тракия, ул. Маестро Георги Атанасов №19; ж.к. Тракия, бул. Освобождение №79","Д-Р ЗОРНИЦА ВЕСЕЛИНОВА СОТИРОВА, КОНСТАНТИН АНГЕЛОВ ВЛАХОВ","032990047"
"МБАЛ - Варна ЕООД","Варна","ВАРНА","ГР.ВАРНА","Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ № 1","ДОЦ. Д-Р ГЕОРГИ ПЕТКОВ ИЛИЕВ, Д-Р РУСИ ПАРАШКЕВОВ РУСЕВ","0877529374,052692009,052632234"
"МБАЛ - Д-Р АСЕН ВЕЛЕВ ЕООД","Благоевград","РАЗЛОГ","ГР.РАЗЛОГ","УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ №2","МАГДАЛЕНА НИКОЛОВА КОЦАКОВА, БОЖИДАР АСЕНОВ ВЕЛЕВ, РАДКА ВЛАДИМИРОВА БОЖИКОВА","0747/89282,0896/787799"
"МБАЛ - Девня ЕООД","Варна","ДЕВНЯ","ГР.ДЕВНЯ","ул. Петрича № 10А","ДОБРОМИР ПЛАМЕНОВ ФИЛИПОВ, Д-Р СТОЯН ДИМИТРОВ КАЛОЯНОВ, КРАСИМИР ВАСИЛЕВ ДИНКОВ, Д-Р АНТОАНЕТА ЖЕЛЯЗКОВА ГЕОРГИЕВА, Д-Р КРАСИМИР ВАСИЛЕВ ДИНКОВ, КОНСТАНТИН ЕНЧЕВ ЯНКОВ, ДОЦ. Д-Р ИВАН ТЕНЧЕВ ГЪЛЪБОВ, Д-Р СНЕЖАНА ЙОВЧЕВА ВАСИЛЕВА, Д-Р КИРИЛ ВЪРБАНОВ ЛОЗАНОВ, МИГЛЕНА СТЕФАНОВА БОЯДЖИЕВА","0519/93490,0519/92433"
"МБАЛ - Първомай ЕООД","Пловдив","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","ул. Княз Борис І №51","Д-Р РУМЯНА ДИМИТРОВА БОЙЛОВА, ИВАН ЯНЧЕВ МАДЖАРОВ, МАРИЯ СПАСОВА НИКЕЗОВА, АТАНАСКА ЙОРДАНОВА ИВАНОВА, ДИМИТЪР КИРТИКОВ","0336/63165,0882/337666,0336/98047"
"МБАЛ - ШУМЕН АД","Шумен","ШУМЕН","ГР.ШУМЕН","ул. Васил Априлов 63","ДИМИТЪР ГЕОРГИЕВ КОСТОВ, ЮЛИЯ ДИМИТРОВА ИЛИЕВА, АТАНАС ГЕОРГИЕВ АТАНАСОВ, НЕДКО ПЛАМЕНОВ ТОДОРОВ, ВИКТОР МИНЧЕВ ДИМИТРОВ, ВАЛЕНТИН ТОДОРОВ СЕМКОВ","054/800751,054/855755,054/800733"
"МБАЛ - ШУМЕН АД","Шумен","НОВИ ПАЗАР","ГР.НОВИ ПАЗАР","ул. Христо Ботев 22","ДИМИТЪР ГЕОРГИЕВ КОСТОВ, ЮЛИЯ ДИМИТРОВА ИЛИЕВА, АТАНАС ГЕОРГИЕВ АТАНАСОВ, НЕДКО ПЛАМЕНОВ ТОДОРОВ, ВИКТОР МИНЧЕВ ДИМИТРОВ, ВАЛЕНТИН ТОДОРОВ СЕМКОВ","054/800751,054/855755,054/800733"
"МБАЛ АРДИНО ЕООД","Кърджали","АРДИНО","ГР.АРДИНО","ул. София №14","ГЮНЕР БЕХЧЕТ ОСМАН, СЕБАХТИН МЕХМЕД ХАДЖИСЕИД, АДАМ ПЕРСЕНСКИ, КАЛОЯН АДАМОВ ПЕРСЕНСКИ","03651/4204,0898654161"
"МБАЛ Асеновград ЕООД","Пловдив","АСЕНОВГРАД","ГР.АСЕНОВГРАД","ул. Александър Стамболийски №28","Д-Р МАРИЯ НИКОЛОВА ДАРАКЧИЕВА, СПАС АТАНАСОВ КОЖУХАРОВ, ИВАН ЙОВКОВ ЧЕРВЕНКОВ, КРАСИМИР АТАНАСОВ КАЛИНОВ","0331/20450,0331/27146"
"МБАЛ БОЛНИЦА ЕВРОПА ООД СОФИЯ","София (столица)","СОФИЯ 02 рн КРАСНО СЕЛО","СОФИЯ 02 рн КРАСНО СЕЛО","бул. Пенчо Славейков № 2","ПРОФ.Д-Р ВЕНЦИСЛАВ ТОДОРОВ ЦВЕТКОВ, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ И Д-Р ВЕНЦИСЛАВ ТОДОРОВ ИВАНОВ -ЗАЕДНО И ПООТДЕЛНО","0887111152"
"МБАЛ Благоевград АД","Благоевград","БЛАГОЕВГРАД","ГР. БЛАГОЕВГРАД","УЛ. СЛАВЯНСКА №60","ДИМИТЪР ГЕОРГИЕВ ДИМИТРОВ, МАГДАЛЕНА СТЕФАНОВА СИМЕОНОВА, ПЕТЪР САШОВ ГАЙДАРСКИ, ЕКАТЕРИНА ИЛИЕВА ЧАКАЛСКА, КРАСИМИР ГЕОРГИЕВ МИХАЙЛОВ, Д-Р ВЛАДИМИР ВИТКОВ ПАНДЕВ, ОГНЯН СТЕФАНОВ МИТЕВ","073/8292329,073/884129,0879/535253"
"МБАЛ Бяла Слатина ЕООД","Враца","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","ул. Захари Стоянов №1","Д-Р СВЕТЛАНА КИРИЛОВА ТОДОРОВА, ОГНЯН МАРИНОВ КОЖУХАРОВ, Д-Р ОГНЯН КОЖУХАРОВ, Д-Р ИВКА ИВАНОВА ГЕОРГИЕВА, НИКОЛАЙ СТЕФАНОВ ДИМОВ, КРАСЕН ГЕОРГИЕВ КРЪСТЕВ","0915/82900,0878/473094,0915/82335,0878 473 106,0889999239"
"МБАЛ ВАРНА КЪМ ВМА","Варна","ВАРНА","ГР.ВАРНА","БУЛ. ХРИСТО СМИРНЕНСКИ № 3","ХРИСТО СТОЯНОВ БОЗОВ, ПОЛК. ПРОФ. Д-Р ИВАЙЛО ПЕТРОВ ВЪЖАРОВ, ДМ","052386210,052386334"
"МБАЛ ВЕЛИКИ ПРЕСЛАВ ЕООД","Шумен","ВЕЛИКИ ПРЕСЛАВ","ГР.ВЕЛИКИ ПРЕСЛАВ","ул. Любен Каравелов 51","НЕЛИ НИКОЛОВА ТОДОРОВА, МИЛЧО СТАНЧЕВ МАВРОДИНОВ, РАДИ КОСТАДИНОВ РАДЕВ, ИВАН ПЕТКОВ ДИМИТРОВ, ЙОШЕНКА НЕНЧЕВА ЖЕЛЯЗКОВА-РУСЕВА","0538/42307"
"МБАЛ ВЕЛИМЕД ЕООД","Пазарджик","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","бул. Съединение №49","ГЕОРГИ АНГЕЛОВ ДОШЕВ, ЙОРДАНКА ТОДОРОВА САВОВА, ЙОРДАНКА ТОДОРОВА САВОВА, ТОДОР ВАСИЛЕВ УШЕВ, КОСТАДИН НИКОЛОВ ПАУНОВ","0359/54298"
"МБАЛ ВИТА ЕООД СОФИЯ","София (столица)","СОФИЯ 07 рн СЛАТИНА","СОФИЯ 07 рн СЛАТИНА","ул. Драговица № 9","Д-Р ТИХОМИР КОСТОВ САВЧЕВ",""
"МБАЛ ВИТА ЕООД СОФИЯ","София (столица)","СОФИЯ 09 рн ЛОЗЕНЕЦ","СОФИЯ 09 рн ЛОЗЕНЕЦ","ул. Филип Кутев № 10","Д-Р ТИХОМИР КОСТОВ САВЧЕВ",""
"МБАЛ Д-Р БРАТАН ШУКЕРОВ АД","Смолян","СМОЛЯН","ГР.СМОЛЯН","бул. България № 2","МАРИН ДИМИТРОВ ДАРАКЧИЕВ, АНТОН ГОРЧЕВ ЛАЛОВ, ЕЛЕНА ТОШЕВА СЛАВКОВА-СИДЕНКО, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ, МАРИН ДИМИТРОВ ДАРАКЧИЕВ, НИНА САШЕВА ШЕХОВА-ЯНКОВА","0301/62395,0301/62549"
"МБАЛ Д-Р СТАМЕН ИЛИЕВ АД","Монтана","МОНТАНА","ГР.МОНТАНА","Сирма Войвода № 4; ул. Сирма Войвода №2","Д-Р ТОДОР БОРИСОВ ТОДОРОВ, Д-Р ЦВЕТАН ГЕОРГИЕВ ТОДОРОВ","096/305150"
"МБАЛ Д-Р ХРИСТО СТАМБОЛСКИ ЕООД","Стара Загора","КАЗАНЛЪК","ГР.КАЗАНЛЪК","ул. Старозагорска №16","Д-Р КЕТИ ПЕТРОВА МАНАЛОВА-ВЛАДКОВА","0431/65300,0431/65665"
"МБАЛ Д-р Иван Селимински - Сливен АД","Сливен","КОТЕЛ","ГР.КОТЕЛ","ул. Изворска №85; ул. Раковска №3","Д-Р ВАСИСЛАВ ПЕТРОНИЕВ ПЕТРОВ, Д-Р МЕТОДИ БОРИСОВ ПОПСТОЙКОВ, Д-Р ЙОРДАН НИКОЛАЕВ КОТОВ","044/611701,044/624326"
"МБАЛ Д-р Иван Селимински - Сливен АД","Сливен","СЛИВЕН","ГР.СЛИВЕН","ул. Сергей Румянцев №2; бул. Хаджи Димитър №41а; ул. Стефан Караджа №2; ул. Криволак №13; НК Сливенски минерални бани; бул. Христо Ботев №1","Д-Р ВАСИСЛАВ ПЕТРОНИЕВ ПЕТРОВ, Д-Р МЕТОДИ БОРИСОВ ПОПСТОЙКОВ, Д-Р ЙОРДАН НИКОЛАЕВ КОТОВ","044/611701,044/624326"
"МБАЛ Д-р Киро Попов - Карлово ЕООД","Пловдив","КАРЛОВО","ГР.КАРЛОВО","ул. Ген. майор Гурко Мархолев №3","Д-Р ДАНИЕЛ ЛИЛОВ ПРАНДЖЕВ, ДОБРИНКА ТАНЧЕВА ЧУЛКОВА, ЦВЯТКО МИТОВ ИМИРСКИ, АНДРЕАН МИЛКОВ МИНЕВ, ХРИСТО ПЕЛЕВ, ОБРЕЙКО ГЕОРГИЕВ ОБРЕЙКОВ","0335/90802,0335/94945"
"МБАЛ Д-р Стойчо Христов ЕООД Севлиево","Габрово","СЕВЛИЕВО","ГР.СЕВЛИЕВО","ул. Стефан Пешев № 147","Д-Р ПЛАМЕН ГЕОРГИЕВ ЦЕКОВ, ХРИСТО ДОБРЕВ ДОБРЕВ, ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, НАЙДЕН КОЛЕВ СЪРДЪМОВ, БОЖИДАР ПАРАЛЧЕВ, Д-Р МЛАДЕН КОЛЕВ ПЕНЧЕВ","0675/30078,0675/32579"
"МБАЛ Д-р Тота Венкова АД Габрово","Габрово","ГАБРОВО","ГР.ГАБРОВО","ул. Д-р Илиев-Детския № 1","МИНКО ЦВЯТКОВ МИХОВ, БОЖИДАР БОГОМИЛОВ ПАРАЛЧЕВ, НЕЛИ ИВАНОВА САВЧЕВА","066/800243,066/808911"
"МБАЛ ДЕВИН ЕАД","Смолян","ДЕВИН","ГР.ДЕВИН","ул. Явор № 3","Д-Р ПЕТЪР ГЕОРГИЕВ ДЕЧЕВ, Д-Р КОСТАДИН БОГДАНОВ КАЛАЙДЖИЕВ, МАРИЯ ДИМИТРОВА, Д-Р ПЕТЪР ДЕЧЕВ, РАДКА МИНЧЕВА ГРОЗДАНОВА, Д-Р ТАТЯНА ПАМПУЛОВА, Д-Р ЯВОР БУКОВ, Д-Р ЧАВДАР АНАТОЛОВ МАРИНОВ","030412511,0879905733,03015/8111"
"МБАЛ ДОВЕРИЕ АД СОФИЯ","София (столица)","СОФИЯ 18 рн ОВЧА КУПЕЛ","СОФИЯ 18 рн ОВЧА КУПЕЛ","ж.к. Овча купел 2, ул. Фридрих Грюнангер № 2","ДИМИТЪР СТЕФАНОВ ГУГУТКОВ, СИЙКА ДОБРЕВА АНДРЕЕВА, ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ","4005990/401"
"МБАЛ ДР АТАНАС ДАФОВСКИ АД","Кърджали","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","бул. Беломорски №53","ТОДОР ДИМИТРОВ ЧЕРКЕЗОВ","0361/65811,0361/65809"
"МБАЛ ДР СЕРГЕЙ РОСТОВЦЕВ ЕООД","Кърджали","МОМЧИЛГРАД","ГР.МОМЧИЛГРАД","ул. Стефан Караджа №1","ДЖАН САДУЛЛА МАЧАН, МЛАДЕН АСЕНОВ КЪРОВ","036316109,03631/8118"
"МБАЛ ДУЛОВО ЕООД","Силистра","ДУЛОВО","ГР.ДУЛОВО","УЛ. РОЗОВАДОЛИНА №37","ЯНИТА КОЛЕВА АНДРЕЕВА, АЛИ АЛИ СЕЛИМАН, НЕДКА ГЕОРГИЕВА ЦВЕНКОВА, СТЕФАН ХРИСТОВ СТОЙЧЕВ, КОНСТАНТИН ВЛАДИМИРОВ ПОПОВ","086423200,086423029"
"МБАЛ ЕВРОХОСПИТАЛ ООД ВАРНА","Варна","ВАРНА","С.ВИНИЦА","кв. Виница, ул. Найден Райков №2А","ПЛАМЕН СТЕФАНОВ ПАВЛОВ, ВЕСЕЛИН МИХАЙЛОВ БАЛКАНСКИ, Д-Р АСЕН СЛАВОВ СТАНЧЕВ, Д-Р ЧАВДАР АТАНАСОВ ДОБРЕВ","052/387900,052/387927"
"МБАЛ Живот плюс ЕООД","Кърджали","КРУМОВГРАД","ГР.КРУМОВГРАД","ул. Христо Ботев №2","МАРИЯ ИВАНОВА СТЕФАНОВА","03641/7270,03641/7271"
"МБАЛ ЗА ЖЕНСКО ЗДРАВЕ НАДЕЖДА ООД СОФИЯ","София (столица)","СОФИЯ 11 рн КРАСНА ПОЛЯНА","СОФИЯ 11 рн КРАСНА ПОЛЯНА","ул. Блага вест № 3","Д-Р АНЕЛИЯ МАРИНОВА РАЧЕВА-КОТОВА","0882449370"
"МБАЛ ЗДРАВЕТО 2012 ООД СОФИЯ","София (столица)","СОФИЯ 02 рн КРАСНО СЕЛО","СОФИЯ 02 рн КРАСНО СЕЛО","гр. София, ж.к. Красно село, ул. Маестро Кънев № 4","ДИМИТЪР ПЛАМЕНОВ МИТЕВ, Д-Р ПЛАМЕН ДИМИТРОВ МИТЕВ, Д-Р ПЛАМЕН ДИМИТРОВ МИТЕВ И ДОЦ. АЛБЕНА ТОДОРОВА МИТЕВА -ЗАЕДНО, АЛБЕНА ТОДОРОВА КРАЕВА-МИТЕВА","02/9524297,0888 869620"
"МБАЛ Иван Скендеров ЕООД","Благоевград","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","УЛ. СТАРА ПЛАНИНА №54","МИЛАН АЛЕКСАНДРОВ ПЪРВАНОВ, ВЛАДИСЛАВ НИКОЛАЕВ УЛЕВИНОВ, ПЕТЪР ГЕОРГИЕВ ФИЛИБЕВ, МАРИЯ ИВАНОВА РАДОЙКОВА-ПОПОВА","0751/95135,0889/878701,0887/938327,0884/111971"
"МБАЛ Кърджали ООД","Кърджали","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","бул. Тракия №19, ет.3","ЖИВКО ИВАНОВ РАЙЧЕВ","0361/66555"
"МБАЛ ЛОЗЕНЕЦ ЕАД","София (столица)","СОФИЯ 09 рн ЛОЗЕНЕЦ","СОФИЯ 09 рн ЛОЗЕНЕЦ","УЛ. КОЗЯК № 1","ДОЦ. Д-Р РАДОСВЕТ ПЕТРОВ ГОРНЕВ, Д-Р ХРИСТО ВАЛЕНТИНОВ СТОЯНОВ, Д-Р ОЛГА ВЛАДИМИРОВА МИЦОВА - МАСЛАРОВА","9607607"
"МБАЛ ЛЮЛИН ЕАД СОФИЯ","София (столица)","СОФИЯ 19 рн ЛЮЛИН","СОФИЯ 19 рн ЛЮЛИН","ж.к. Люлин-6 бул. Д-р Петър Дертлиев № 81и № 90, ул. Ал. Пушкин № 71","Д-Р АНГЕЛ ЛЮБЕНОВ ПОПОВ, Д-Р ГЕОРГИ МИХАЙЛОВ ГЕОРГИЕВ","02/8108906,02/8108909"
"МБАЛ Луковит ЕООД","Ловеч","ЛУКОВИТ","ГР.ЛУКОВИТ","Княз Борис І 52","ИВАН ГЕНОВ ИВАНОВ, ГАЛИНА ЛЮБЕНОВА СТОЯНОВА","0697/54086,0894792010"
"МБАЛ МК Свети Иван Рилски ЕООД Пловдив","Пловдив","ПЛОВДИВ","ГР.ПЛОВДИВ","бул.В.Левски 144 А-А","Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ","032/674113,032/674112"
"МБАЛ Майчин дом-Варна ЕООД","Варна","ВАРНА","ГР.ВАРНА","ул. Мир №1","Д-Р МАКСИМ ИСАК ЯКОВ","052/383850,052/383858"
"МБАЛ Мед Лайн Клиник АД Пловдив","Пловдив","ПЛОВДИВ","ПЛОВДИВ 1 р-н ЦЕНТРАЛЕН","ул. Филип Македонски №37","ПРОФ. НЕВЕН ЕНЧЕВ ФОН ГОЛДЕНБУРГ","032960699,0878656684"
"МБАЛ Медицински комплекс Свети Иван Рилски ЕООД клон гр. Стара Загора","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Герасим Папазчев №1","Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ, Д-Р КИРИЛ ДОБРЕВ ДОБРЕВ","042/909402"
"МБАЛ Мездра ЕООД","Враца","МЕЗДРА","ГР.МЕЗДРА","ул. Янко Сакъзов №33","СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ИЛИАНА ЙОРДАНОВА МИХАЙЛОВА-ТИХОЛОВА, Д-Р ПЕТЬО ВАСИЛЕВ ВЪЛЧЕВ, Д-Р СОНЯ ДИМИТРОВА СЪБОТИНОВА","0877000070,0886596577,0910/92415,0910/92600"
"МБАЛ НКБ ЕАД СОФИЯ","София (столица)","СОФИЯ 12 рн ИЛИНДЕН","СОФИЯ 12 рн ИЛИНДЕН","гр.София район Илинден ул. Коньовица № 65 и гр. Банкя, ул. Шейново № 4","РОСЕН ВАНЕВ ПЕТКОВ, ДОЦ. Д-Р ВЛАДИМИР БОРИСОВ ПИЛОСОФ, ПРОФ. Д-Р МАРИО ДРАГАНОВ СТАНКЕВ, КРАСИМИР РОСЕНОВ ДЖИНСОВ","8221582,9211410"
"МБАЛ Ниамед ООД гр. Стара Загора","Стара Загора","СТАРА ЗАГОРА","ГР.СТАРА ЗАГОРА","ул. Стефан Стамболов № 29","Д-Р НИКОЛАЙ ГЕОРГИЕВ ХРИСТОВ, ИВАН ДИНЕВ ИВАНОВ, СЕВДАЛИНКА ДИМИТРОВА ПЕНЧЕВА, Д-Р МАРИЯ ИВАНОВА АПОСТОЛОВА","042/611611,042/611610"
